# Original synthetic question/answer pairs authored for this experiment.
# question | line 1 (5) | line 2 (7) | line 3 (5)
What is encryption? | Plain words wear a mask | Only keys reveal their sense | Secrets cross unseen
What is a password? | A secret guards doors | Choose a long and unique one | Keep it safe from view
What is machine learning? | Patterns teach the code | Examples help shape its rules | Guesses change with time
What is a neural network? | Linked layers pass signs | Weights adjust as lessons flow | Patterns find a home
What does training a model do? | Small weights shift and learn | Each mistake can guide a change | Practice shapes the voice
What is overfitting? | Old questions feel clear | New ones leave the learner lost | It learned far too close
What is the internet? | Linked machines exchange | Packets travel many roads | Distant screens can talk
What is a browser? | A window for sites | Fetch and show each page you seek | Links lead you onward
What is a cache? | Keep close what you need | Saved results can spare more work | Old ones need refresh
What is a unit test? | One small piece is checked | Known inputs meet known answers | Faults can show up fast
What is a queue? | First in goes out first | Each new thing waits at the back | Turns keep order here
What is a stack? | Last in goes out first | Like the plates upon a shelf | Lift the top one off
Tell me about a cat who runs a bank. | Paws count coins at dawn | All the loans are paid in fish | Mice get no credit
Imagine a dragon with a cold. | Smoke and sneezes bloom | Each small cough can toast the bread | Huge tissues run out
Describe a robot on vacation. | Steel toes test the sand | Circuits hum beneath the sun | Work can wait till fall
Tell me about a cloud with a job. | Clouds clock in at dawn | Their job is to shade the fields | Rain earns extra pay
Imagine a penguin detective. | Black coat, white shirt front | Tiny tracks lead through the snow | Fish thieves leave a trail
Describe a nervous toaster. | Bread waits at the gate | Will it burn or turn out gold | Springs jump at the thought
What if the moon were made of cheese? | Mice would build a ship | Crumbs would drift among the stars | Night would smell like lunch
Imagine a snail winning a race. | Slow feet cross the line | All the hares stopped for a nap | Patience takes the prize
Tell me about a ghost who loves laundry. | Sheets drift through the house | All the stains must leave by dawn | Boo means rinse again
What if trees could talk? | Roots would trade old tales | Leaves would whisper in the wind | Birds would hear the news
Describe a pirate accountant. | Gold fills each locked chest | Count the loot and split the shares | Keep receipts, says he
Tell me a tiny joke about socks. | One sock left the wash | Its twin went to seek new lands | Feet mourn their lost friend
Describe a hamster astronaut. | Small paws steer the ship | Earth looks like a seed from here | Space needs one more wheel
What would a dinosaur order for lunch? | Huge teeth scan the list | Bring a salad, says the beast | Plants can feed giants
